Date,Product,Category,Region,Quantity,Unit_Price,Revenue
2026-01-05,Laptop,Electronics,North,5,55000,275000
2026-01-08,Mouse,Accessories,South,25,800,20000
2026-01-12,Keyboard,Accessories,East,15,1500,22500
2026-01-18,Monitor,Electronics,West,8,12000,96000
2026-02-03,Laptop,Electronics,South,7,55000,385000
2026-02-10,Mouse,Accessories,North,30,800,24000
2026-02-15,Keyboard,Accessories,West,20,1500,30000
2026-02-22,Monitor,Electronics,East,10,12000,120000
2026-03-04,Laptop,Electronics,East,6,55000,330000
2026-03-11,Mouse,Accessories,West,35,800,28000
2026-03-17,Keyboard,Accessories,South,18,1500,27000
2026-03-25,Monitor,Electronics,North,12,12000,144000
2026-04-02,Laptop,Electronics,West,9,55000,495000
2026-04-09,Mouse,Accessories,East,28,800,22400
2026-04-16,Keyboard,Accessories,North,22,1500,33000
2026-04-24,Monitor,Electronics,South,11,12000,132000
2026-05-05,Laptop,Electronics,North,8,55000,440000
2026-05-13,Mouse,Accessories,South,40,800,32000
2026-05-20,Keyboard,Accessories,East,25,1500,37500
2026-05-28,Monitor,Electronics,West,14,12000,168000
